 12.74 12.42 21.63 18.42 12.35 19.27 29.77 15.08 28.73 24.78 21.13 17.29 16.18 28.19 18.29 17.91 12.36 16.06 22.92 21.99 22.62 29.64 24.52 9.57 17.30 13.99 16.32 18.92 26.52 22.24
 12.16 10.92 21.07 17.73 11.67 18.42 28.70 14.07 27.69 24.10 20.62 16.50 15.37 27.73 17.49 16.86 11.62 15.62 21.58 21.34 22.00 28.77 23.59 9.24 16.41 13.21 15.67 17.99 25.87 21.13
 12.10 9.92 20.86 17.40 11.39 18.10 27.94 13.61 27.06 23.74 20.48 15.98 15.00 27.59 16.96 16.32 11.21 15.56 20.67 20.94 21.60 28.33 23.10 9.11 15.76 12.83 15.34 17.25 25.38 20.31
 11.89 8.89 20.57 17.06 11.14 17.70 26.94 13.06 25.99 23.16 20.44 15.32 14.73 27.04 16.35 15.64 10.87 15.41 19.44 20.31 21.16 27.57 22.38 9.16 15.07 12.36 14.88 16.41 24.72 19.34
 11.13 7.42 19.68 16.15 10.38 16.78 25.18 12.01 24.37 21.96 19.45 14.19 13.61 25.76 15.10 14.31 9.94 14.77 17.77 19.02 20.08 26.34 21.11 8.60 13.83 11.24 13.95 14.98 23.48 17.76
 10.72 6.51 19.43 15.74 10.30 16.37 24.41 11.37 23.57 21.65 19.23 13.67 13.11 25.41 14.61 13.62 9.62 14.74 16.92 18.65 19.76 25.96 20.57 8.55 13.35 10.81 13.76 14.26 23.17 16.96
 9.43 4.87 18.29 14.28 9.20 15.18 22.62 9.89 21.86 20.23 17.82 12.23 11.62 23.85 12.98 12.06 8.40 13.76 15.03 17.05 18.44 24.60 18.94 7.57 11.85 9.37 12.40 12.44 21.63 15.20
 8.87 3.78 18.11 13.74 9.02 14.65 21.76 9.13 20.90 19.95 17.63 11.57 10.84 23.39 12.40 11.33 8.06 13.66 14.13 16.68 18.20 24.24 18.41 7.52 11.27 8.69 12.26 11.64 21.37 14.32
 8.29 2.87 17.57 13.10 8.72 14.10 20.47 8.36 19.54 19.01 16.89 10.71 10.04 22.32 11.50 10.33 7.35 13.09 12.81 15.78 17.40 23.26 17.50 7.28 10.33 7.92 11.82 10.50 20.52 13.13
 7.74 2.06 17.29 12.68 8.62 13.70 19.35 7.67 18.32 18.45 16.53 10.07 9.27 21.60 10.80 9.74 6.98 12.86 11.58 15.07 16.94 22.39 16.71 7.03 9.49 7.29 11.40 9.58 19.85 12.09
 6.94 1.09 16.70 11.99 8.21 12.92 18.30 6.81 17.14 17.76 15.80 9.14 8.31 20.68 9.91 8.74 6.22 12.43 10.45 14.31 16.37 21.56 15.90 6.64 8.49 6.27 10.88 8.51 19.12 10.92
 5.93 0.09 15.96 11.09 7.75 12.05 17.10 5.81 15.75 16.86 14.87 8.23 7.06 19.66 8.95 7.67 5.40 11.82 9.24 13.47 15.53 20.55 14.82 6.08 7.50 5.32 10.38 7.37 18.18 9.70
 5.42 -0.42 15.78 10.62 7.80 11.70 16.56 5.30 15.04 16.70 14.55 7.73 6.28 19.32 8.53 7.19 5.01 11.78 8.54 13.21 15.35 20.02 14.47 6.01 7.05 4.72 10.49 6.93 18.01 9.07
 4.40 -1.10 14.86 9.62 7.26 10.80 15.06 4.25 13.50 15.63 13.39 6.73 5.13 17.90 7.53 6.11 4.14 10.92 7.28 12.19 14.32 18.59 13.23 5.37 5.95 3.68 9.88 5.82 16.80 7.82
 3.77 -1.67 14.58 9.21 7.15 10.27 14.63 3.62 12.93 15.39 13.00 6.30 4.20 17.64 7.06 5.52 3.65 10.86 6.75 11.96 14.02 18.10 12.71 5.05 5.38 3.06 9.82 5.24 16.56 7.20
 3.33 -1.80 13.94 8.56 7.03 9.75 13.77 3.20 12.03 14.84 12.23 5.87 3.45 16.72 6.72 5.08 3.24 10.56 6.24 11.51 13.54 17.23 12.02 4.90 4.99 2.58 9.96 4.93 15.93 6.65
 2.89 -2.03 13.60 8.09 6.99 9.36 13.29 2.75 11.52 14.57 11.78 5.49 2.71 16.27 6.33 4.64 2.87 10.44 5.81 11.17 13.24 16.65 11.51 4.60 4.68 2.08 10.11 4.52 15.51 6.16
 2.63 -2.10 12.98 7.61 7.04 8.87 12.66 2.34 10.76 14.08 11.23 5.07 2.13 15.57 6.13 4.26 2.68 10.15 5.40 10.88 12.68 15.61 10.89 4.47 4.33 1.76 10.25 4.32 14.80 5.65
 2.11 -2.18 12.55 7.06 6.93 8.57 12.47 1.99 10.61 14.07 10.63 4.78 1.30 15.16 5.96 3.92 2.33 10.12 5.49 10.77 12.52 15.44 10.63 4.27 4.44 1.40 10.57 4.28 14.71 5.49
 1.80 -2.44 12.14 6.49 6.81 8.07 12.27 1.54 10.38 13.95 10.14 4.48 0.69 14.82 5.77 3.64 2.09 9.96 5.38 10.52 12.06 14.99 10.16 3.91 4.34 0.99 10.89 4.17 14.28 5.19
 1.67 -2.36 11.66 6.11 6.73 7.74 12.07 1.45 10.15 13.75 9.76 4.36 0.28 14.26 5.85 3.45 1.97 9.90 5.54 10.48 11.80 14.45 9.96 3.75 4.50 0.91 11.34 4.18 13.97 5.04
 1.79 -2.03 11.44 5.88 6.92 7.62 12.11 1.41 10.14 13.72 9.44 4.39 0.07 13.98 5.99 3.51 2.21 9.98 5.89 10.45 11.48 14.22 9.62 3.76 4.94 0.99 11.80 4.42 13.73 5.15
 1.74 -1.73 11.32 5.66 7.07 7.58 12.58 1.35 10.59 14.08 9.24 4.60 -0.20 13.90 6.36 3.59 2.37 10.16 6.52 10.86 11.59 14.52 9.70 3.87 5.75 1.17 12.79 4.88 14.02 5.54
 1.44 -1.97 10.93 5.03 6.88 7.20 12.76 0.95 10.76 14.28 8.67 4.51 -0.85 13.70 6.51 3.24 2.21 10.16 7.01 10.90 11.32 14.66 9.50 3.65 6.21 1.00 13.36 5.10 14.03 5.69
 1.98 -1.32 11.12 5.11 7.34 7.43 13.38 1.30 11.40 14.71 8.79 5.09 -0.51 13.80 7.23 3.63 2.94 10.60 8.01 11.47 11.59 15.05 9.79 4.17 7.35 1.73 14.32 5.95 14.52 6.40
 2.20 -0.88 11.33 5.06 7.61 7.61 14.25 1.54 12.25 15.38 8.84 5.56 -0.54 14.01 7.88 3.88 3.49 10.92 9.12 12.18 11.80 15.70 10.18 4.50 8.57 2.25 15.48 6.73 15.23 7.17
 2.54 -0.46 11.38 5.05 7.91 7.57 14.93 1.68 12.92 15.93 8.96 6.09 -0.38 14.20 8.74 4.11 4.03 11.29 10.37 12.80 11.99 16.27 10.50 4.93 9.79 2.91 16.45 7.58 15.94 7.91
 2.60 -0.23 11.57 4.82 7.98 7.68 15.97 1.71 13.84 16.58 9.09 6.60 -0.46 14.49 9.41 4.20 4.47 11.50 11.59 13.48 12.29 17.02 10.93 5.21 11.01 3.45 17.28 8.39 17.03 8.82
 3.59 0.91 12.29 5.43 8.85 8.35 17.33 2.56 15.29 17.89 9.87 7.88 0.38 15.42 10.93 5.10 5.82 12.38 13.54 14.84 13.10 18.23 11.85 6.59 13.03 4.90 18.96 9.90 18.60 10.34
 4.63 2.04 13.16 6.04 9.82 9.08 18.63 3.36 16.52 18.92 10.76 9.06 1.34 16.38 12.40 5.95 7.17 13.32 15.37 16.22 14.01 19.40 12.86 7.94 14.92 6.36 20.45 11.44 20.19 11.84
 5.43 3.02 14.19 6.57 10.75 9.75 20.46 4.16 18.30 20.61 11.80 10.48 2.00 17.66 14.14 6.79 8.49 14.33 17.88 17.95 15.20 21.14 14.23 9.35 17.13 7.93 22.10 13.23 22.51 13.67
 6.76 4.36 15.68 7.61 12.13 10.85 22.55 5.20 20.35 22.53 13.41 12.30 3.28 19.59 16.33 8.09 10.38 15.90 20.62 20.16 16.86 23.07 15.95 11.37 19.71 9.96 24.20 15.36 25.14 15.97
 7.62 5.51 16.79 8.08 13.13 11.58 24.42 5.94 22.08 24.01 14.64 13.86 4.10 21.15 18.24 8.93 11.88 17.01 23.26 21.99 18.15 24.86 17.52 13.01 21.83 11.71 25.75 17.19 27.75 18.05
 9.11 7.47 18.25 9.43 14.68 12.81 26.33 7.40 23.95 25.66 16.29 15.87 5.71 23.15 20.32 10.43 14.02 18.68 25.88 24.08 19.81 26.70 19.24 15.17 24.19 13.90 27.45 19.39 30.14 20.30
 10.45 9.12 20.29 10.64 16.37 14.19 29.13 8.60 26.53 28.16 18.31 18.15 6.98 25.99 22.95 12.06 16.33 20.73 29.25 26.83 22.11 29.58 21.47 17.68 27.08 16.29 29.79 21.87 33.75 23.16
 13.22 12.44 23.37 13.24 19.33 16.82 32.75 11.44 29.93 31.33 21.75 21.61 10.03 29.67 26.65 15.04 19.85 23.84 33.51 30.40 25.43 33.12 24.96 21.32 30.64 19.90 32.66 25.52 37.84 27.11
 15.13 14.78 25.51 14.99 21.49 18.67 35.33 13.36 32.50 33.76 24.20 24.21 11.95 32.54 29.56 17.15 22.43 26.32 36.94 33.35 28.05 35.86 27.63 24.31 33.35 22.66 34.95 28.28 41.27 30.11
